# Order (which comes first) is very important!!
# seperator = ','

RestaurantM
#format: Name, Lat, Lon
SenAsia,0,0
Le Quan,0,0

FoodDimensionM
#format: Name
Food category
Location style
Cooking style
Meal type
Ingredient

FoodDimensionKeywordM
#format: FoodDimensionM, Name 
Location style, Hanoi
Location style, Hue
Location style, Italy
Location style, Bac Trung Bo
Location style, Mien nam
Location style, Asian
Food category, Pizza
Food category, Pasta
Food category, Nem nuong
Food category, Pho
Food category, Bun
Cooking style, Grilled
Cooking style, Nuong
Cooking style, Baked
Cooking style, Steamed
Meal type, Starter
Meal type, Main course 
Meal type, Breakfast 
Meal type, Lunch
Meal type, Dinner
Ingredient, Chily
Ingredient, Beaf
Ingredient, Thit bo
Ingredient, Chicken
Ingredient, Thit ga
Ingredient, Bun
Ingredient, Pho

FoodItemM
#format: Name, FoodDimensionKeywordM-FoodDimensionM;FoodDimensionKeywordM-FoodDimensionM;...
#Nem nuong Hanoi, Nem nuong-Food category;Nuong-Cooking style;Hanoi-Location style
#Pho bo Nam bo, Mien nam-Location style;Pho-Food category;Thit bo-Ingredient;Pho-Ingredient
#Pho gia truyen Hanoi, Pho-Food category;Pho-Ingredient;Hanoi-Location style
#Nem nuong Ninh hoa, Nem nuong-Food category;Nuong-Cooking style
#Bun bo Hue, Bun-Food category;Bun-Ingredient;Hue-Location style;Thit bo-Ingredient
#format: Name, FoodDimensionKeywordM;FoodDimensionKeywordM;...
Nem nuong Hanoi, Nem nuong;Nuong;Hanoi
Pho bo Nam bo, Mien nam;Pho;Thit bo
Pho gia truyen Hanoi, Pho;Hanoi
Nem nuong Ninh hoa, Nem nuong;Nuong
Bun bo Hue, Bun;Hue;Thit bo

DiscountM
#format: Name, Discount
Sommer, 0.15
New open, 0.20

UserM
#format: Name, AccName, AccPwd
tduccuong,tduccuong,tduccuong
ryan,ryan,ryan
